,listing_id,image_file,prop_type,listing_price,beds,baths,sqft,address,city,state,zipcode
0,Aurora_CO_1_0,ffaa50edd5566d5dcfe0b1d132ad079cl-m1108769346xd-w1020_h770_q80.jpg,House for Sale,"$265,000",3,1,854,4614-S-Buckley-Way,Aurora,CO,80015
1,Aurora_CO_1_0,ffaa50edd5566d5dcfe0b1d132ad079cl-m867679501xd-w1020_h770_q80.jpg,House for Sale,"$265,000",3,1,854,4614-S-Buckley-Way,Aurora,CO,80015
2,Aurora_CO_1_0,ffaa50edd5566d5dcfe0b1d132ad079cl-m2412943192xd-w1020_h770_q80.jpg,House for Sale,"$265,000",3,1,854,4614-S-Buckley-Way,Aurora,CO,80015
3,Aurora_CO_1_0,ffaa50edd5566d5dcfe0b1d132ad079cl-m2841480592xd-w1020_h770_q80.jpg,House for Sale,"$265,000",3,1,854,4614-S-Buckley-Way,Aurora,CO,80015
4,Aurora_CO_1_0,ffaa50edd5566d5dcfe0b1d132ad079cl-m758422910xd-w1020_h770_q80.jpg,House for Sale,"$265,000",3,1,854,4614-S-Buckley-Way,Aurora,CO,80015
5,Aurora_CO_1_0,ffaa50edd5566d5dcfe0b1d132ad079cl-m2052986069xd-w1020_h770_q80.jpg,House for Sale,"$265,000",3,1,854,4614-S-Buckley-Way,Aurora,CO,80015
6,Aurora_CO_1_0,ffaa50edd5566d5dcfe0b1d132ad079cl-m1885956992xd-w1020_h770_q80.jpg,House for Sale,"$265,000",3,1,854,4614-S-Buckley-Way,Aurora,CO,80015
7,Aurora_CO_1_0,ffaa50edd5566d5dcfe0b1d132ad079cl-m2238174378xd-w1020_h770_q80.jpg,House for Sale,"$265,000",3,1,854,4614-S-Buckley-Way,Aurora,CO,80015
8,Aurora_CO_1_0,ffaa50edd5566d5dcfe0b1d132ad079cl-m820191236xd-w1020_h770_q80.jpg,House for Sale,"$265,000",3,1,854,4614-S-Buckley-Way,Aurora,CO,80015
36,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m3541516059xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
37,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m3525043034xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
38,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m2180480188xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
39,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m2439184788xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
40,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m3570472166xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
41,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m3161120954xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
42,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m1740584183xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
43,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m1154993593xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
44,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m741514185xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
45,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m2776380371xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
46,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m2774007855xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
47,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m1889258674xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
48,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m2615838762xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
49,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m3610069204xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
50,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m230413346xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
51,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m3951891669xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
52,Arvada_CO_1_1,d3ac0f1e6e2c81288efd7ee56f489a08l-m3716653019xd-w1020_h770_q80.jpg,Listing for Sale,"$309,900",2,1.5,"1,061",8417-Everett-Way-Unit-B,Arvada,CO,80005
